snapshot_ts_ms,side,price,size
1779519273680,bid,0.57,77.98
1779519273680,bid,0.56,277.26
1779519273680,bid,0.54,18.66
1779519273680,bid,0.52,1719.15
1779519273680,bid,0.5,1200
1779519273680,bid,0.47,200
1779519273680,bid,0.46,86
1779519273680,bid,0.45,680
1779519273680,bid,0.44,1535.71
1779519273680,bid,0.43,1735.23
1779519273680,bid,0.42,4133.06
1779519273680,bid,0.41,400
1779519273680,bid,0.39,2000
1779519273680,bid,0.38,6812.9
1779519273680,bid,0.36,1762.5
1779519273680,bid,0.33,50
1779519273680,bid,0.3,200
1779519273680,bid,0.27,629
1779519273680,bid,0.26,2555
1779519273680,bid,0.25,400
1779519273680,bid,0.23,3878.26
1779519273680,bid,0.21,400
1779519273680,bid,0.2,7500
1779519273680,bid,0.19,200
1779519273680,bid,0.18,200
1779519273680,bid,0.17,5882.35
1779519273680,bid,0.16,6967
1779519273680,bid,0.14,8524.14
1779519273680,bid,0.13,1730.76
1779519273680,bid,0.12,3666
1779519273680,bid,0.11,13685.18
1779519273680,bid,0.1,50
1779519273680,bid,0.09,19255.55
1779519273680,bid,0.08,378.22
1779519273680,bid,0.07,6211.6
1779519273680,bid,0.06,27633.33
1779519273680,bid,0.04,10556
1779519273680,bid,0.03,79932.66
1779519273680,bid,0.02,8824
1779519273680,bid,0.01,4596.98
1779519273680,ask,0.56,33
1779519273680,ask,0.58,5.7
1779519273680,ask,0.59,19.26
1779519273680,ask,0.6,307.21
1779519273680,ask,0.61,1331.35
1779519273680,ask,0.62,1875.14
1779519273680,ask,0.64,2695
1779519273680,ask,0.65,328.83
1779519273680,ask,0.66,277.57
1779519273680,ask,0.67,200
1779519273680,ask,0.69,225
1779519273680,ask,0.7,876.97
1779519273680,ask,0.73,911.52
1779519273680,ask,0.74,269
1779519273680,ask,0.75,2200
1779519273680,ask,0.76,1199.99
1779519273680,ask,0.77,200
1779519273680,ask,0.79,2585.82
1779519273680,ask,0.8,4983.43
1779519273680,ask,0.81,5321.52
1779519273680,ask,0.82,2200
1779519273680,ask,0.84,6250
1779519273680,ask,0.85,3890.71
1779519273680,ask,0.86,9809.85
1779519273680,ask,0.87,7692.3
1779519273680,ask,0.88,9833.66
1779519273680,ask,0.89,347.72
1779519273680,ask,0.9,3051.27
1779519273680,ask,0.91,14451.68
1779519273680,ask,0.92,6183.87
1779519273680,ask,0.93,24100
1779519273680,ask,0.94,631.97
1779519273680,ask,0.95,34750
1779519273680,ask,0.96,35987.5
1779519273680,ask,0.97,12951.27
1779519273680,ask,0.98,110661.88
1779519273680,ask,0.99,57545.74
1779519398775,bid,0.57,77.98
1779519398775,bid,0.55,31.66
1779519398775,bid,0.54,158.36
1779519398775,bid,0.53,230
1779519398775,bid,0.52,1719.15
1779519398775,bid,0.51,480
1779519398775,bid,0.5,1600
1779519398775,bid,0.47,200
1779519398775,bid,0.46,86
1779519398775,bid,0.45,680
1779519398775,bid,0.44,1535.71
1779519398775,bid,0.43,1735.23
1779519398775,bid,0.42,3271
1779519398775,bid,0.41,400
1779519398775,bid,0.39,2000
1779519398775,bid,0.38,6812.9
1779519398775,bid,0.36,1762.5
1779519398775,bid,0.33,50
1779519398775,bid,0.3,200
1779519398775,bid,0.27,296
1779519398775,bid,0.26,2555
1779519398775,bid,0.25,400
1779519398775,bid,0.23,1826
1779519398775,bid,0.22,4036.36
1779519398775,bid,0.21,200
1779519398775,bid,0.2,7500
1779519398775,bid,0.19,5263.15
1779519398775,bid,0.18,200
1779519398775,bid,0.17,5882.35
1779519398775,bid,0.16,6967
1779519398775,bid,0.15,2933
1779519398775,bid,0.14,8524.14
1779519398775,bid,0.13,1730.76
1779519398775,bid,0.12,3666
1779519398775,bid,0.11,13685.18
1779519398775,bid,0.1,50
1779519398775,bid,0.09,19255.55
1779519398775,bid,0.08,17878.22
1779519398775,bid,0.06,4300
1779519398775,bid,0.05,28000
1779519398775,bid,0.04,16287.6
1779519398775,bid,0.03,67266.66
1779519398775,bid,0.02,8824
1779519398775,bid,0.01,4596.98
1779519398775,ask,0.55,18.91
1779519398775,ask,0.56,23.7
1779519398775,ask,0.57,15
1779519398775,ask,0.58,5.7
1779519398775,ask,0.59,49.26
1779519398775,ask,0.6,424.98
1779519398775,ask,0.61,1154.42
1779519398775,ask,0.62,1875.14
1779519398775,ask,0.63,13
1779519398775,ask,0.64,2695
1779519398775,ask,0.65,1098.06
1779519398775,ask,0.66,277.57
1779519398775,ask,0.67,200
1779519398775,ask,0.69,225
1779519398775,ask,0.7,876.97
1779519398775,ask,0.73,711.52
1779519398775,ask,0.74,265
1779519398775,ask,0.75,2200
1779519398775,ask,0.76,1199.99
1779519398775,ask,0.77,200
1779519398775,ask,0.78,409
1779519398775,ask,0.79,2585.82
1779519398775,ask,0.8,4983.43
1779519398775,ask,0.81,3768.77
1779519398775,ask,0.82,6644.44
1779519398775,ask,0.84,6250
1779519398775,ask,0.85,7471.66
1779519398775,ask,0.86,9809.85
1779519398775,ask,0.87,7692.3
1779519398775,ask,0.88,9833.66
1779519398775,ask,0.89,347.72
1779519398775,ask,0.9,3031.27
1779519398775,ask,0.91,14451.68
1779519398775,ask,0.92,3187.34
1779519398775,ask,0.93,24100
1779519398775,ask,0.94,3493.66
1779519398775,ask,0.95,34750
1779519398775,ask,0.96,987.5
1779519398775,ask,0.97,12951.27
1779519398775,ask,0.98,110661.88
1779519398775,ask,0.99,57545.74
1779519516495,bid,0.57,354.45
1779519516495,bid,0.55,31.66
1779519516495,bid,0.54,163.36
1779519516495,bid,0.53,230
1779519516495,bid,0.52,1719.15
1779519516495,bid,0.51,480
1779519516495,bid,0.5,1600
1779519516495,bid,0.47,200
1779519516495,bid,0.46,86
1779519516495,bid,0.45,88
1779519516495,bid,0.44,1535.71
1779519516495,bid,0.43,1308.4
1779519516495,bid,0.42,4133.06
1779519516495,bid,0.41,400
1779519516495,bid,0.39,2000
1779519516495,bid,0.38,6612.9
1779519516495,bid,0.36,1762.5
1779519516495,bid,0.33,50
1779519516495,bid,0.31,286
1779519516495,bid,0.3,200
1779519516495,bid,0.27,296
1779519516495,bid,0.26,3906.35
1779519516495,bid,0.25,400
1779519516495,bid,0.24,1750
1779519516495,bid,0.23,3878.26
1779519516495,bid,0.21,200
1779519516495,bid,0.2,6000
1779519516495,bid,0.19,5263.15
1779519516495,bid,0.17,7382.35
1779519516495,bid,0.16,6967
1779519516495,bid,0.15,2933
1779519516495,bid,0.14,8524.14
1779519516495,bid,0.13,1030.76
1779519516495,bid,0.12,12700.33
1779519516495,bid,0.11,1967
1779519516495,bid,0.1,4450
1779519516495,bid,0.09,18655.55
1779519516495,bid,0.08,378.22
1779519516495,bid,0.07,6211.6
1779519516495,bid,0.06,28233.33
1779519516495,bid,0.05,800
1779519516495,bid,0.04,10556
1779519516495,bid,0.03,67266.66
1779519516495,bid,0.02,8824
1779519516495,bid,0.01,4596.98
1779519516495,ask,0.55,10.91
1779519516495,ask,0.56,23.7
1779519516495,ask,0.58,25.7
1779519516495,ask,0.59,60.51
1779519516495,ask,0.6,413.45
1779519516495,ask,0.61,1106.44
1779519516495,ask,0.62,1875.14
1779519516495,ask,0.63,1599.19
1779519516495,ask,0.64,3476.25
1779519516495,ask,0.65,1098.06
1779519516495,ask,0.66,277.57
1779519516495,ask,0.67,200
1779519516495,ask,0.69,225
1779519516495,ask,0.7,876.97
1779519516495,ask,0.73,693.99
1779519516495,ask,0.74,675.67
1779519516495,ask,0.75,2200
1779519516495,ask,0.76,1199.99
1779519516495,ask,0.77,200
1779519516495,ask,0.78,409
1779519516495,ask,0.79,2585.82
1779519516495,ask,0.8,2361
1779519516495,ask,0.81,3768.77
1779519516495,ask,0.82,6644.44
1779519516495,ask,0.84,3255.46
1779519516495,ask,0.85,8138.66
1779519516495,ask,0.86,2667
1779519516495,ask,0.87,7692.3
1779519516495,ask,0.89,10742
1779519516495,ask,0.9,4611.27
1779519516495,ask,0.91,14451.68
1779519516495,ask,0.92,1092.48
1779519516495,ask,0.93,24100
1779519516495,ask,0.94,3493.66
1779519516495,ask,0.95,750
1779519516495,ask,0.96,42387.5
1779519516495,ask,0.97,2255
1779519516495,ask,0.98,110661.88
1779519516495,ask,0.99,57545.74
1779519868853,bid,0.57,49.3
1779519868853,bid,0.56,30
1779519868853,bid,0.54,2118.73
1779519868853,bid,0.53,200
1779519868853,bid,0.52,719.15
1779519868853,bid,0.51,888.16
1779519868853,bid,0.5,1600
1779519868853,bid,0.45,88
1779519868853,bid,0.44,1535.71
1779519868853,bid,0.43,1308.4
1779519868853,bid,0.42,4133.06
1779519868853,bid,0.41,400
1779519868853,bid,0.4,200
1779519868853,bid,0.39,2000
1779519868853,bid,0.38,5373.16
1779519868853,bid,0.36,200
1779519868853,bid,0.33,50
1779519868853,bid,0.27,1466
1779519868853,bid,0.26,2555
1779519868853,bid,0.25,400
1779519868853,bid,0.23,3878.26
1779519868853,bid,0.21,200
1779519868853,bid,0.2,7500
1779519868853,bid,0.17,5882.35
1779519868853,bid,0.16,92
1779519868853,bid,0.14,8738.42
