snapshot_ts_ms,side,price,size
1779517911006,bid,0.64,211.62
1779517911006,bid,0.63,896.72
1779517911006,bid,0.6,200
1779517911006,bid,0.59,200
1779517911006,bid,0.58,480
1779517911006,bid,0.57,1200
1779517911006,bid,0.56,200
1779517911006,bid,0.54,200
1779517911006,bid,0.42,649
1779517911006,bid,0.41,898.98
1779517911006,bid,0.4,1900
1779517911006,bid,0.35,914.4
1779517911006,bid,0.34,3043.57
1779517911006,bid,0.33,99.99
1779517911006,bid,0.32,1235.29
1779517911006,bid,0.29,2076.05
1779517911006,bid,0.28,5379.02
1779517911006,bid,0.26,500
1779517911006,bid,0.25,400
1779517911006,bid,0.24,4166.66
1779517911006,bid,0.21,6661.9
1779517911006,bid,0.17,7870.58
1779517911006,bid,0.16,203.5
1779517911006,bid,0.14,10052.71
1779517911006,bid,0.12,2566
1779517911006,bid,0.11,2104.76
1779517911006,bid,0.1,16400
1779517911006,bid,0.08,1890.68
1779517911006,bid,0.07,25368.65
1779517911006,bid,0.05,20
1779517911006,bid,0.04,16928.27
1779517911006,bid,0.03,67266.66
1779517911006,bid,0.02,8824
1779517911006,bid,0.01,4096
1779517911006,ask,0.66,5.99
1779517911006,ask,0.67,8
1779517911006,ask,0.68,127.55
1779517911006,ask,0.69,20.73
1779517911006,ask,0.7,1587.28
1779517911006,ask,0.71,84.3
1779517911006,ask,0.72,1940.46
1779517911006,ask,0.73,1610.95
1779517911006,ask,0.74,200
1779517911006,ask,0.75,2973.25
1779517911006,ask,0.76,5346.41
1779517911006,ask,0.78,1787.05
1779517911006,ask,0.8,733.09
1779517911006,ask,0.81,200
1779517911006,ask,0.82,200
1779517911006,ask,0.83,3204.81
1779517911006,ask,0.84,200.1
1779517911006,ask,0.85,2292.62
1779517911006,ask,0.86,8999.35
1779517911006,ask,0.87,8170.69
1779517911006,ask,0.89,9090.9
1779517911006,ask,0.9,2451.57
1779517911006,ask,0.91,14222.21
1779517911006,ask,0.92,375
1779517911006,ask,0.93,18571.42
1779517911006,ask,0.94,500
1779517911006,ask,0.95,33350
1779517911006,ask,0.96,36069.07
1779517911006,ask,0.97,13556.15
1779517911006,ask,0.98,110687.5
1779517911006,ask,0.99,16262
1779518284942,bid,0.65,200
1779518284942,bid,0.64,411.62
1779518284942,bid,0.63,896.72
1779518284942,bid,0.6,200
1779518284942,bid,0.59,200
1779518284942,bid,0.58,480
1779518284942,bid,0.57,1200
1779518284942,bid,0.56,200
1779518284942,bid,0.54,200
1779518284942,bid,0.42,649
1779518284942,bid,0.41,898.98
1779518284942,bid,0.4,1900
1779518284942,bid,0.35,914.4
1779518284942,bid,0.34,3043.57
1779518284942,bid,0.33,99.99
1779518284942,bid,0.32,1235.29
1779518284942,bid,0.3,966
1779518284942,bid,0.29,2076.05
1779518284942,bid,0.28,5379.02
1779518284942,bid,0.26,500
1779518284942,bid,0.25,400
1779518284942,bid,0.24,4166.66
1779518284942,bid,0.22,1381
1779518284942,bid,0.21,6661.9
1779518284942,bid,0.17,7870.58
1779518284942,bid,0.16,203.5
1779518284942,bid,0.15,2113
1779518284942,bid,0.14,10052.71
1779518284942,bid,0.11,2104.76
1779518284942,bid,0.1,16400
1779518284942,bid,0.08,1890.68
1779518284942,bid,0.07,25368.65
1779518284942,bid,0.05,12220
1779518284942,bid,0.04,2628.27
1779518284942,bid,0.03,67266.66
1779518284942,bid,0.02,8824
1779518284942,bid,0.01,4096
1779518284942,ask,0.66,5.99
1779518284942,ask,0.67,8
1779518284942,ask,0.68,151.76
1779518284942,ask,0.7,1555
1779518284942,ask,0.71,84.3
1779518284942,ask,0.72,1913.09
1779518284942,ask,0.73,1610.95
1779518284942,ask,0.74,200
1779518284942,ask,0.75,2973.25
1779518284942,ask,0.76,5346.41
1779518284942,ask,0.78,1787.05
1779518284942,ask,0.8,733.09
1779518284942,ask,0.81,200
1779518284942,ask,0.82,200
1779518284942,ask,0.83,3204.81
1779518284942,ask,0.84,200.1
1779518284942,ask,0.85,2292.62
1779518284942,ask,0.86,5731.08
1779518284942,ask,0.87,478.39
1779518284942,ask,0.88,8333.33
1779518284942,ask,0.89,9090.9
1779518284942,ask,0.9,600
1779518284942,ask,0.91,14222.21
1779518284942,ask,0.92,375
1779518284942,ask,0.93,18571.42
1779518284942,ask,0.94,500
1779518284942,ask,0.95,33350
1779518284942,ask,0.96,14729
1779518284942,ask,0.97,48222.81
1779518284942,ask,0.98,110687.5
1779518284942,ask,0.99,16262
1779518395802,bid,0.65,200
1779518395802,bid,0.64,211.62
1779518395802,bid,0.63,896.72
1779518395802,bid,0.6,200
1779518395802,bid,0.59,200
1779518395802,bid,0.58,480
1779518395802,bid,0.57,1200
1779518395802,bid,0.56,200
1779518395802,bid,0.54,200
1779518395802,bid,0.42,649
1779518395802,bid,0.41,898.98
1779518395802,bid,0.4,1900
1779518395802,bid,0.35,914.4
1779518395802,bid,0.34,3043.57
1779518395802,bid,0.33,99.99
1779518395802,bid,0.32,1235.29
1779518395802,bid,0.3,903
1779518395802,bid,0.29,2076.05
1779518395802,bid,0.28,5379.02
